Gregorian Month,Bangla Month Name,Date,Day Name,Bangla Date,Hijri Date,Bangla Month Full,Hijri Month Full
May,মে,6,বুধ,২৩,19,বৈশাখ ১৪৩৩,জিলকদ ১৪৪৭
May,মে,7,বৃহঃ,২৪,20,বৈশাখ ১৪৩৩,জিলকদ ১৪৪৭
May,মে,8,শুক্র,২৫,21,বৈশাখ ১৪৩৩,জিলকদ ১৪৪৭
May,মে,9,শনি,২৬,22,বৈশাখ ১৪৩৩,জিলকদ ১৪৪৭
May,মে,10,রবি,২৭,23,বৈশাখ ১৪৩৩,জিলকদ ১৪৪৭
May,মে,11,সোম,২৮,24,বৈশাখ ১৪৩৩,জিলকদ ১৪৪৭
May,মে,12,মঙ্গল,২৯,25,বৈশাখ ১৪৩৩,জিলকদ ১৪৪৭
May,মে,13,বুধ,৩০,26,বৈশাখ ১৪৩৩,জিলকদ ১৪৪৭
May,মে,14,বৃহঃ,৩১,27,বৈশাখ ১৪৩৩,জিলকদ ১৪৪৭
May,মে,15,শুক্র,১,28,জ্যৈষ্ঠ ১৪৩৩,জিলকদ ১৪৪৭
May,মে,16,শনি,২,29,জ্যৈষ্ঠ ১৪৩৩,জিলকদ ১৪৪৭
May,মে,17,রবি,৩,30,জ্যৈষ্ঠ ১৪৩৩,জিলকদ ১৪৪৭
May,মে,18,সোম,৪,1,জ্যৈষ্ঠ ১৪৩৩,জিলহজ্জ ১৪৪৭
May,মে,19,মঙ্গল,৫,2,জ্যৈষ্ঠ ১৪৩৩,জিলহজ্জ ১৪৪৭
May,মে,20,বুধ,৬,3,জ্যৈষ্ঠ ১৪৩৩,জিলহজ্জ ১৪৪৭
May,মে,21,বৃহঃ,৭,4,জ্যৈষ্ঠ ১৪৩৩,জিলহজ্জ ১৪৪৭
May,মে,22,শুক্র,৮,5,জ্যৈষ্ঠ ১৪৩৩,জিলহজ্জ ১৪৪৭
May,মে,23,শনি,৯,6,জ্যৈষ্ঠ ১৪৩৩,জিলহজ্জ ১৪৪৭
May,মে,24,রবি,১০,7,জ্যৈষ্ঠ ১৪৩৩,জিলহজ্জ ১৪৪৭
May,মে,25,সোম,১১,8,জ্যৈষ্ঠ ১৪৩৩,জিলহজ্জ ১৪৪৭
May,মে,26,মঙ্গল,১২,9,জ্যৈষ্ঠ ১৪৩৩,জিলহজ্জ ১৪৪৭
May,মে,27,বুধ,১৩,10,জ্যৈষ্ঠ ১৪৩৩,জিলহজ্জ ১৪৪৭
May,মে,28,বৃহঃ,১৪,11,জ্যৈষ্ঠ ১৪৩৩,জিলহজ্জ ১৪৪৭
May,মে,29,শুক্র,১৫,12,জ্যৈষ্ঠ ১৪৩৩,জিলহজ্জ ১৪৪৭
May,মে,30,শনি,১৬,13,জ্যৈষ্ঠ ১৪৩৩,জিলহজ্জ ১৪৪৭
May,মে,31,রবি,১৭,14,জ্যৈষ্ঠ ১৪৩৩,জিলহজ্জ ১৪৪৭
June,জুন,1,সোম,১৮,15,জ্যৈষ্ঠ ১৪৩৩,জিলহজ্জ ১৪৪৭
June,জুন,2,মঙ্গল,১৯,16,জ্যৈষ্ঠ ১৪৩৩,জিলহজ্জ ১৪৪৭
June,জুন,3,বুধ,২০,17,জ্যৈষ্ঠ ১৪৩৩,জিলহজ্জ ১৪৪৭
June,জুন,4,বৃহঃ,২১,18,জ্যৈষ্ঠ ১৪৩৩,জিলহজ্জ ১৪৪৭
June,জুন,5,শুক্র,২২,19,জ্যৈষ্ঠ ১৪৩৩,জিলহজ্জ ১৪৪৭
June,জুন,6,শনি,২৩,20,জ্যৈষ্ঠ ১৪৩৩,জিলহজ্জ ১৪৪৭
June,জুন,7,রবি,২৪,21,জ্যৈষ্ঠ ১৪৩৩,জিলহজ্জ ১৪৪৭
June,জুন,8,সোম,২৫,22,জ্যৈষ্ঠ ১৪৩৩,জিলহজ্জ ১৪৪৭
June,জুন,9,মঙ্গল,২৬,23,জ্যৈষ্ঠ ১৪৩৩,জিলহজ্জ ১৪৪৭
June,জুন,10,বুধ,২৭,24,জ্যৈষ্ঠ ১৪৩৩,জিলহজ্জ ১৪৪৭
June,জুন,11,বৃহঃ,২৮,25,জ্যৈষ্ঠ ১৪৩৩,জিলহজ্জ ১৪৪৭
June,জুন,12,শুক্র,২৯,26,জ্যৈষ্ঠ ১৪৩৩,জিলহজ্জ ১৪৪৭
June,জুন,13,শনি,৩০,27,জ্যৈষ্ঠ ১৪৩৩,জিলহজ্জ ১৪৪৭
June,জুন,14,রবি,৩১,28,জ্যৈষ্ঠ ১৪৩৩,জিলহজ্জ ১৪৪৭
June,জুন,15,সোম,১,29,আষাঢ় ১৪৩৩,জিলহজ্জ ১৪৪৭
June,জুন,16,মঙ্গল,২,30,আষাঢ় ১৪৩৩,জিলহজ্জ ১৪৪৭
June,জুন,17,বুধ,৩,1,আষাঢ় ১৪৩৩,মহররম ১৪৪৮
June,জুন,18,বৃহঃ,৪,2,আষাঢ় ১৪৩৩,মহররম ১৪৪৮
June,জুন,19,শুক্র,৫,3,আষাঢ় ১৪৩৩,মহররম ১৪৪৮
June,জুন,20,শনি,৬,4,আষাঢ় ১৪৩৩,মহররম ১৪৪৮
June,জুন,21,রবি,৭,5,আষাঢ় ১৪৩৩,মহররম ১৪৪৮
June,জুন,22,সোম,৮,6,আষাঢ় ১৪৩৩,মহররম ১৪৪৮
June,জুন,23,মঙ্গল,৯,7,আষাঢ় ১৪৩৩,মহররম ১৪৪৮
June,জুন,24,বুধ,১০,8,আষাঢ় ১৪৩৩,মহররম ১৪৪৮
June,জুন,25,বৃহঃ,১১,9,আষাঢ় ১৪৩৩,মহররম ১৪৪৮
June,জুন,26,শুক্র,১২,10,আষাঢ় ১৪৩৩,মহররম ১৪৪৮
June,জুন,27,শনি,১৩,11,আষাঢ় ১৪৩৩,মহররম ১৪৪৮
June,জুন,28,রবি,১৪,12,আষাঢ় ১৪৩৩,মহররম ১৪৪৮
June,জুন,29,সোম,১৫,13,আষাঢ় ১৪৩৩,মহররম ১৪৪৮
